fercID,utility,year,rateName,MWh,revenue,num_cstmr,KWhper_cust,avg_price,CARE_rate,remove,,,
133,PGE,2015,E8 SEASONAL SERVICE OPTION,523064,106472585,38969,13423,0.2036,0,0,,,
133,PGE,2015,EA9 EXPERIMENTAL TOU SERVICE FOR,17596,2962195,2362,7450,0.1683,0,0,,,
133,PGE,2015,EB9 EXPERIMENTAL TOU SERVICE FOR,395,47827,137,2883,0.1211,0,0,,,
133,PGE,2015,EM MASTER-METERED MULTI-FAMILY SE,234970,42998009,17047,13784,0.183,0,0,,,
133,PGE,2015,EMTOU RESIDENTIAL TIME OF USE SER,1071,164434,47,22787,0.1535,0,0,,,
133,PGE,2015,ES MULTI-FAMILY SERVICE,26882,4221263,284,94655,0.157,0,0,,,
133,PGE,2015,ESR RV PARK AND RESIDENTIAL MARIN,1266,197377,23,55043,0.1559,0,0,,,
133,PGE,2015,ESRL RV PARK AND RESIDENTIAL MARI,7735,1069511,80,96688,0.1383,0,0,,,
133,PGE,2015,ET MOBILEHOME PARK SERVICE,16859,2506843,262,64347,0.1487,0,0,,,
133,PGE,2015,EVA RESIDENTIAL TOU SERVICE FOR P,251853,40115190,16730,15054,0.1593,0,0,,,
133,PGE,2015,EVB RESIDENTIAL TOU SERVICE FOR P,697,85694,185,3768,0.1229,0,0,,,
133,PGE,2015,SE1 STANDBY - INDIVIDUALLY METERE,25,6218,1,25000,0.2487,0,0,,,
133,PGE,2015,SEM1 STANDBY - MASTER-METERED MUL,2752,449485,9,305778,0.1633,0,0,,,
133,PGE,2015,EL1    RESIDENTIAL CARE PROGRAM S,7224347,813842546,1171811,6165,0.1127,1,0,,,
133,PGE,2015,EL6    RESIDENTIAL CARE TIME-OF-U,15856,1696316,2657,5968,0.107,1,0,,,
133,PGE,2015,EL7    RESIDENTIAL CARE PROGRAM T,48891,5627139,5330,9173,0.1151,1,0,,,
133,PGE,2015,EL8    RESIDENTIAL SEASONAL CARE,73602,8319635,5612,13115,0.113,1,0,,,
133,PGE,2015,EML MULTIFAMILY CARE PROGRAM - MA,23695,2463626,166,142741,0.104,1,0,,,
133,PGE,2015,ESL MULTIFAMILY CARE PROGRAM SERV,29454,3993662,318,92623,0.1356,1,0,,,
133,PGE,2015,ETL LOW-INCOME MOBILE HOME,394182,51973899,2165,182070,0.1319,1,0,,,
133,PGE,2015,ECLSD,0,5040,0,0,0,0,1,,,
133,PGE,2015,MIS-RS,0,-142317,0,0,0,0,1,,,
133,PGE,2015,STOUS INDV STANDBY - TOU SECONDAR,0,27277,11,0,0,0,1,,,
133,PGE,2015,UNCLASSIFIED,61,0,0,0,0,0,1,,,
133,PGE,2016,E1 INDIVIDUALLY METERED,19392978,4146790859,3374840,5746,0.2138,0,0,,,
133,PGE,2016,E6 RESIDENTIAL TIME-OF-USE SERVIC,426374,86241636,92355,4617,0.2023,0,0,,,
133,PGE,2016,E7 TIME-OF-USE,230086,41229446,27140,8478,0.1792,0,0,,,
133,PGE,2016,E8 SEASONAL SERVICE OPTION,90980,16996485,6075,14976,0.1868,0,0,,,
133,PGE,2016,EA9 EXPERIMENTAL TOU SERVICE FOR,6,874,1,6000,0.1457,0,0,,,
133,PGE,2016,EM MASTER-METERED MULTI-FAMILY SE,227712,45582321,16732,13609,0.2002,0,0,,,
133,PGE,2016,EMTOU RESIDENTIAL TIME OF USE SER,1725,294629,59,29237,0.1708,0,0,,,
133,PGE,2016,ES MULTI-FAMILY SERVICE,26641,4326883,279,95487,0.1624,0,0,,,
133,PGE,2016,ESR RV PARK AND RESIDENTIAL MARIN,2306,375601,26,88692,0.1629,0,0,,,
133,PGE,2016,ESRL RV PARK AND RESIDENTIAL MARI,7812,1173518,77,101455,0.1502,0,0,,,
133,PGE,2016,ET MOBILEHOME PARK SERVICE,14947,2359040,246,60760,0.1578,0,0,,,
133,PGE,2016,ETOUA RESIDENTIAL TIME-OF-USE SER,133552,31314139,16194,8247,0.2345,0,0,,,
133,PGE,2016,ETOUB RESIDENTIAL TIME-OF-USE SER,50448,11310908,3764,13403,0.2242,0,0,,,
133,PGE,2016,ETOUP RESIDENTIAL TIME-OF-USE SER,37455,6995420,6715,5578,0.1868,0,0,,,
133,PGE,2016,EVA RESIDENTIAL TOU SERVICE FOR P,406412,71684962,26954,15078,0.1764,0,0,,,
133,PGE,2016,EVB RESIDENTIAL TOU SERVICE FOR P,1222,173969,399,3063,0.1424,0,0,,,
133,PGE,2016,SE1 STANDBY - INDIVIDUALLY METERE,8,2072,2,4000,0.259,0,0,,,
133,PGE,2016,SEM1 STANDBY - MASTER-METERED MUL,2970,519115,9,330000,0.1748,0,0,,,
133,PGE,2016,EL1    RESIDENTIAL CARE PROGRAM S,7076578,870521349,1174453,6025,0.123,1,0,,,
133,PGE,2016,EL6    RESIDENTIAL CARE TIME-OF-U,34662,4217578,5664,6120,0.1217,1,0,,,
133,PGE,2016,EL7    RESIDENTIAL CARE PROGRAM T,23121,2627825,2596,8906,0.1137,1,0,,,
133,PGE,2016,EL8    RESIDENTIAL SEASONAL CARE,13437,1401802,872,15409,0.1043,1,0,,,
133,PGE,2016,EL-TOUA RESIDENTIAL CARE TIME-OF-,14805,2016301,1704,8688,0.1362,1,0,,,
133,PGE,2016,EL-TOUB RESIDENTIAL CARE TIME-OF-,5282,716950,393,13440,0.1357,1,0,,,
133,PGE,2016,EML MULTIFAMILY CARE PROGRAM - MA,24333,2808302,166,146584,0.1154,1,0,,,
133,PGE,2016,ESL MULTIFAMILY CARE PROGRAM SERV,29138,4168861,318,91629,0.1431,1,0,,,
133,PGE,2016,ETL LOW-INCOME MOBILE HOME,385681,53014191,2163,178308,0.1375,1,0,,,
133,PGE,2016,EB9 EXPERIMENTAL TOU SERVICE FOR,0,61,0,0,0,0,1,,,
133,PGE,2016,ECLSD,0,1924,0,0,0,0,1,,,
133,PGE,2016,MIS-RS,0,-582,0,0,0,0,1,,,
133,PGE,2016,STOUS INDV STANDBY - TOU SECONDAR,0,41152,12,0,0,0,1,,,
133,PGE,2016,UNCLASSIFIED,59,0,0,0,0,0,1,,,
133,PGE,2017,E1 INDIVIDUALLY METERED,19550515,4241732501,3381744,5781,0.217,0,0,,,
133,PGE,2017,E6 RESIDENTIAL TIME-OF-USE SERVIC,504806,103248302,98773,5111,0.2045,0,0,,,
133,PGE,2017,E7 TIME-OF-USE,117,14374,5,23400,0.1229,0,0,,,
133,PGE,2017,EM MASTER-METERED MULTI-FAMILY SE,224199,46344033,16538,13557,0.2067,0,0,,,
133,PGE,2017,EMTOU RESIDENTIAL TIME OF USE SER,1610,337111,146,11027,0.2094,0,0,,,
133,PGE,2017,ES MULTI-FAMILY SERVICE,25612,4375138,288,88931,0.1708,0,0,,,
133,PGE,2017,ESR RV PARK AND RESIDENTIAL MARIN,2265,442706,27,83889,0.1955,0,0,,,
133,PGE,2017,ESRL RV PARK AND RESIDENTIAL MARI,8672,1365500,80,108400,0.1575,0,0,,,
133,PGE,2017,ET MOBILEHOME PARK SERVICE,15938,2666943,241,66133,0.1673,0,0,,,
133,PGE,2017,ETOUA RESIDENTIAL TIME-OF-USE SER,335617,69567550,60496,5548,0.2073,0,0,,,
133,PGE,2017,ETOUB RESIDENTIAL TIME-OF-USE SER,342112,75649381,24533,13945,0.2211,0,0,,,
133,PGE,2017,ETOUP RESIDENTIAL TIME-OF-USE SER,63025,11331505,11471,5494,0.1798,0,0,,,
133,PGE,2017,EVA RESIDENTIAL TOU SERVICE FOR P,579811,103883073,36536,15870,0.1792,0,0,,,
133,PGE,2017,EVB RESIDENTIAL TOU SERVICE FOR P,1356,191510,494,2745,0.1412,0,0,,,
133,PGE,2017,SE1 STANDBY - INDIVIDUALLY METERE,61,19455,3,20333,0.3189,0,0,,,
133,PGE,2017,SEM1 STANDBY - MASTER-METERED MUL,2783,516261,10,278300,0.1855,0,0,,,
133,PGE,2017,EL1    RESIDENTIAL CARE PROGRAM S,7172962,947415056,1157500,6197,0.1321,1,0,,,
133,PGE,2017,EL6    RESIDENTIAL CARE TIME-OF-U,40430,5185644,6328,6389,0.1283,1,0,,,
133,PGE,2017,EL-TOUA RESIDENTIAL CARE TIME-OF-,47263,5295217,7658,6172,0.112,1,0,,,
133,PGE,2017,EL-TOUB RESIDENTIAL CARE TIME-OF-,35078,4600919,3214,10914,0.1312,1,0,,,
133,PGE,2017,EML MULTIFAMILY CARE PROGRAM - MA,27570,3572602,184,149837,0.1296,1,0,,,
133,PGE,2017,ESL MULTIFAMILY CARE PROGRAM SERV,28637,4404816,310,92377,0.1538,1,0,,,
133,PGE,2017,ETL LOW-INCOME MOBILE HOME,398366,60915814,2160,184429,0.1529,1,0,,,
133,PGE,2017,E8 SEASONAL SERVICE OPTION,-4,-123730,0,0,30.9325,0,1,,,
133,PGE,2017,EA9 EXPERIMENTAL TOU SERVICE FOR,0,0,0,0,0,0,1,,,
133,PGE,2017,EB9 EXPERIMENTAL TOU SERVICE FOR,0,58,0,0,0,0,1,,,
133,PGE,2017,ECLSD,0,423,0,0,0,0,1,,,
133,PGE,2017,MIS-RS,48,35,0,0,7.00E-04,0,1,,,
133,PGE,2017,STOUS INDV STANDBY - TOU SECONDAR,0,755,3,0,0,0,1,,,
133,PGE,2017,UNCLASSIFIED,0,56990,11,0,0,0,1,,,
133,PGE,2017,EL7    RESIDENTIAL CARE PROGRAM T,0,-442,0,0,0,1,1,,,
133,PGE,2017,EL8    RESIDENTIAL SEASONAL CARE,1,-82,0,0,-0.082,1,1,,,
133,PGE,2018,E1 INDIVIDUALLY METERED,17536596,3579290436,3260752,5378,0.2041,0,0,,,
133,PGE,2018,E6 RESIDENTIAL TIME-OF-USE SERVIC,413028,85107830,91148,4531,0.2061,0,0,,,
133,PGE,2018,EM MASTER-METERED MULTI-FAMILY SE,211513,39491286,15939,13270,0.1867,0,0,,,
133,PGE,2018,EMTOU RESIDENTIAL TIME OF USE SER,1079,448975,287,3760,0.4161,0,0,,,
133,PGE,2018,ES MULTI-FAMILY SERVICE,24341,3811479,281,86623,0.1566,0,0,,,
133,PGE,2018,ESR RV PARK AND RESIDENTIAL MARIN,1810,325544,24,75417,0.1799,0,0,,,
133,PGE,2018,ESRL RV PARK AND RESIDENTIAL MARI,8702,1358660,85,102376,0.1561,0,0,,,
133,PGE,2018,ET MOBILEHOME PARK SERVICE,14344,2157266,251,57147,0.1504,0,0,,,
133,PGE,2018,ETOUA RESIDENTIAL TIME-OF-USE SER,436367,98086586,120799,3612,0.2248,0,0,,,
133,PGE,2018,ETOUB RESIDENTIAL TIME-OF-USE SER,614416,135391113,50137,12255,0.2204,0,0,,,
133,PGE,2018,ETOUC RESIDENTIAL TIME-OF-USE SER,400015,93699020,64638,6189,0.2342,0,0,,,
133,PGE,2018,ETOUP RESIDENTIAL TIME-OF-USE SER,1,63,0,0,0.063,0,0,,,
